UUID,Name,Description,provider,available,MeasurementUnits
fccc13f1-f337-480b-9305-a5bb56bcaa11,Samsung Galaxy Mobile,smart phone,Samsung Galaxy,true,PC
6a227cf5-34e4-4f48-a77c-63576929aecd,Nokia Mobile,smart phone,Nokia,true,PC
d8e64484-5ef8-4d84-bd54-0371d3092d3b,Sony  Mobile,smart phone,Sony,true,PC
cdf70db2-7a14-4fbc-bb5d-c0ba024d3ec6,LG Mobile,smart phone,LG,true,PC
227278c5-3731-4329-a070-9d5ff1e6f18e,Motorola Mobile,smart phone,Motorola,true,PC
b764d0f4-a54e-4737-95df-aa5b3b3904b3,oppo Mobile,smart phone,oppo,true,PC
1970589d-6e57-4d9f-add5-aa62895fcfd7,Apple Mobile,smart phone,Apple,true,PC
f4547ba0-31d6-4979-931c-9a2ae2656ab5,OnePlus Mobile,smart phone,OnePlus,true,PC
99a3098c-3f0f-455c-bcbd-b038a0a28ea0,Huawei Mobile,smart phone,Huawei,true,PC
49207e59-a896-4c1b-9ce1-9a03cae06073,HTC Mobile,smart phone,HTC,true,PC
c7320562-8153-4985-8947-1b6f8ec1e967,Samsung Galaxy Mobile,smart phone,Samsung Galaxy,true,PC
7ec127d8-0356-4ce9-ab98-aa80761bc9d4,Nokia Mobile,smart phone,Nokia,true,PC
c11a6549-182e-4e13-aba8-3818ad9c6b25,Sony  Mobile,smart phone,Sony,true,PC
b427c5fc-e17a-4ab4-8809-47e9adaee568,LG Mobile,smart phone,LG,true,PC
967de3a2-5203-42ca-a12e-a5b4abab5a88,Motorola Mobile,smart phone,Motorola,true,PC
90b749b9-71b2-4152-991b-6579041dc546,oppo Mobile,smart phone,oppo,true,PC
7e503ca0-4a22-47a8-b496-63665eacc326,Apple Mobile,smart phone,Apple,true,PC
4969e1cf-b478-40ab-bbe4-94613254354e,OnePlus Mobile,smart phone,OnePlus,true,PC
8b430168-6372-41d0-ac36-c9ba5a5ee548,Huawei Mobile,smart phone,Huawei,true,PC
5b41074d-7662-4a50-824d-5cb1ec236448,HTC Mobile,smart phone,HTC,true,PC
13a93996-33df-4d56-9a17-fa193cd3b200,Samsung Galaxy Mobile,smart phone,Samsung Galaxy,true,PC
440ddb5d-4649-4960-a9c7-b2d7d18e6205,Nokia Mobile,smart phone,Nokia,true,PC
39f8a349-f359-446f-a0fd-60d72f810ce0,Sony  Mobile,smart phone,Sony,true,PC
88d458f4-6443-4f03-96f3-0bc23d481025,LG Mobile,smart phone,LG,true,PC
2dcaf00d-0fec-445d-a2f9-c66b6c59da0a,Motorola Mobile,smart phone,Motorola,true,PC
e27fbe04-3772-4973-9fb8-1389a2a7be9d,oppo Mobile,smart phone,oppo,true,PC
725d63bb-a2b0-4123-98f4-1a4543f92305,Apple Mobile,smart phone,Apple,true,PC
3288c777-d438-40d8-86f7-527ed328d18b,OnePlus Mobile,smart phone,OnePlus,true,PC
a185bc97-fb9b-4f3d-9042-85690cbfaac3,Huawei Mobile,smart phone,Huawei,true,PC
d6515416-42b0-4a3f-8e90-aa2f431529ea,HTC Mobile,smart phone,HTC,true,PC
556992e8-3435-4045-9b08-7ab92893f2e2,Samsung Galaxy Mobile,smart phone,Samsung Galaxy,true,PC
09b33be6-4bc8-4d60-b4fc-5a09b3795aa8,Nokia Mobile,smart phone,Nokia,true,PC
c7a5f31c-bc0e-4ca6-8f3e-d60ebd44fa11,Sony  Mobile,smart phone,Sony,true,PC
f4c7fc35-74fd-4efb-9472-970fadc8ac7e,LG Mobile,smart phone,LG,true,PC
ed386106-4b44-41aa-9ce8-96d53b8946d7,Motorola Mobile,smart phone,Motorola,true,PC
3e9eae43-243b-4b5c-9547-8de84652728d,oppo Mobile,smart phone,oppo,true,PC
5ac4037d-be4a-41df-8f94-41907dfbe9af,Apple Mobile,smart phone,Apple,true,PC
e9ffdd05-7e70-460e-9564-9618ff9ff75a,OnePlus Mobile,smart phone,OnePlus,true,PC
9841133b-1f30-4b87-88bc-e381a33fc1a9,Huawei Mobile,smart phone,Huawei,true,PC
c160df04-be17-4dec-bded-3724dd682616,HTC Mobile,smart phone,HTC,true,PC
e8dc5b61-e56e-42d2-bc16-6febc1255915,Samsung Galaxy Mobile,smart phone,Samsung Galaxy,true,PC
c922977a-0f79-4eac-a594-fcd407f0b40b,Nokia Mobile,smart phone,Nokia,true,PC
9b7b4b1b-59e0-4b16-9df1-9b9bcca63fcb,Sony  Mobile,smart phone,Sony,true,PC
5a8f9034-491b-4b6c-8e20-81f6797d87e5,LG Mobile,smart phone,LG,true,PC
9269ab75-4674-4a73-bd25-0162e3b5249d,Motorola Mobile,smart phone,Motorola,true,PC
ee16698c-8286-42cf-8114-3c27db44998e,oppo Mobile,smart phone,oppo,true,PC
c68f768b-eb08-4997-a03c-668234628f6c,Apple Mobile,smart phone,Apple,true,PC
10439c66-b498-46c9-a6ec-d3be3f32e91b,OnePlus Mobile,smart phone,OnePlus,true,PC
1fc7a553-8769-44f4-9105-b0f09d9ec278,Huawei Mobile,smart phone,Huawei,true,PC
f2cb57ed-cd56-486c-aaa4-3b035c7edeb9,HTC Mobile,smart phone,HTC,true,PC
bea64acf-5064-4abd-b6a5-9210d09734b6,Samsung Galaxy Mobile,smart phone,Samsung Galaxy,true,PC
c4c4734d-be8a-414c-a2a0-26c91f585df8,Nokia Mobile,smart phone,Nokia,true,PC
bba1fbe4-4b3e-4206-8d7b-532f92681fc1,Sony  Mobile,smart phone,Sony,true,PC
b27a01b6-ea06-4930-995e-49c1f917ea3c,LG Mobile,smart phone,LG,true,PC
f623c7d0-ac48-48c0-9d4a-81aefcf32778,Motorola Mobile,smart phone,Motorola,true,PC
80abc30c-850c-40d6-ac27-91c05b8d5eff,oppo Mobile,smart phone,oppo,true,PC
674d14ce-84b5-4dad-8a12-4586fb6cdc2f,Apple Mobile,smart phone,Apple,true,PC
8f537836-379a-4618-83eb-14995d298104,OnePlus Mobile,smart phone,OnePlus,true,PC
fd55b30c-76b9-450b-a574-57988c9271bd,Huawei Mobile,smart phone,Huawei,true,PC
332504e1-ea17-411f-ba89-a53714825eee,HTC Mobile,smart phone,HTC,true,PC
7ffadef2-014c-4f42-bb9d-09d9cf51306f,Samsung Galaxy Mobile,smart phone,Samsung Galaxy,true,PC
8db55c01-a5c2-47a0-b48f-3db29f31bcf6,Nokia Mobile,smart phone,Nokia,true,PC
8d270cd4-ed6f-470f-be97-5e129868c31c,Sony  Mobile,smart phone,Sony,true,PC
5781b843-f36c-4604-bce1-13158d474587,LG Mobile,smart phone,LG,true,PC
12c79889-83fc-4883-9f4c-9619b3aaf4e1,Motorola Mobile,smart phone,Motorola,true,PC
e522152a-9fe9-4d91-9a4b-8ebb2479b0e0,oppo Mobile,smart phone,oppo,true,PC
5ed57991-3b75-4c16-9efe-a31c6aa1b324,Apple Mobile,smart phone,Apple,true,PC
66097e68-2b67-49ab-9635-d2f827940605,OnePlus Mobile,smart phone,OnePlus,true,PC
66abec25-522d-4f0c-adea-b21199d78ca8,Huawei Mobile,smart phone,Huawei,true,PC
a41a8df8-b2d3-4e6c-b1d7-ada7cc006dff,HTC Mobile,smart phone,HTC,true,PC
